´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20041102,1.0641,
600439.SH,Èð±´¿¨,20041103,1.1091,
600439.SH,Èð±´¿¨,20041104,1.081,
600439.SH,Èð±´¿¨,20041105,1.0714,
600439.SH,Èð±´¿¨,20041108,1.07,
600439.SH,Èð±´¿¨,20041109,1.081,
600439.SH,Èð±´¿¨,20041110,1.126,
600439.SH,Èð±´¿¨,20041111,1.1098,
600439.SH,Èð±´¿¨,20041112,1.1201,
600439.SH,Èð±´¿¨,20041115,1.1283,
600439.SH,Èð±´¿¨,20041116,1.1076,
600439.SH,Èð±´¿¨,20041117,1.1098,
600439.SH,Èð±´¿¨,20041118,1.1275,
600439.SH,Èð±´¿¨,20041119,1.1179,
600439.SH,Èð±´¿¨,20041122,1.1024,
600439.SH,Èð±´¿¨,20041123,1.1024,
600439.SH,Èð±´¿¨,20041124,1.0862,
600439.SH,Èð±´¿¨,20041125,1.0914,
600439.SH,Èð±´¿¨,20041126,1.0847,
600439.SH,Èð±´¿¨,20041129,1.0611,
600439.SH,Èð±´¿¨,20041130,1.0707,
600439.SH,Èð±´¿¨,20041201,1.1039,
600439.SH,Èð±´¿¨,20041202,1.0958,
600439.SH,Èð±´¿¨,20041203,1.0869,
600439.SH,Èð±´¿¨,20041206,1.067,
600439.SH,Èð±´¿¨,20041207,1.0722,
600439.SH,Èð±´¿¨,20041208,1.0759,
600439.SH,Èð±´¿¨,20041209,1.081,
600439.SH,Èð±´¿¨,20041210,1.0722,
600439.SH,Èð±´¿¨,20041213,1.0825,
600439.SH,Èð±´¿¨,20041214,1.1002,
600439.SH,Èð±´¿¨,20041215,1.1054,
600439.SH,Èð±´¿¨,20041216,1.0973,
600439.SH,Èð±´¿¨,20041217,1.0951,
600439.SH,Èð±´¿¨,20041220,1.0596,
600439.SH,Èð±´¿¨,20041221,1.0301,
600439.SH,Èð±´¿¨,20041222,1.0618,
600439.SH,Èð±´¿¨,20041223,1.0257,
600439.SH,Èð±´¿¨,20041224,1.0345,
600439.SH,Èð±´¿¨,20041227,1.0434,
600439.SH,Èð±´¿¨,20041228,1.0434,
600439.SH,Èð±´¿¨,20041229,1.0279,
600439.SH,Èð±´¿¨,20041230,1.0294,
600439.SH,Èð±´¿¨,20041231,1.0257,
600439.SH,Èð±´¿¨,20050104,1.0124,
600439.SH,Èð±´¿¨,20050105,1.0257,
600439.SH,Èð±´¿¨,20050106,1.0139,
600439.SH,Èð±´¿¨,20050107,0.9585,
600439.SH,Èð±´¿¨,20050110,0.9689,
600439.SH,Èð±´¿¨,20050111,0.974,
600439.SH,Èð±´¿¨,20050112,0.9726,
600439.SH,Èð±´¿¨,20050113,0.9822,
600439.SH,Èð±´¿¨,20050114,0.9711,
600439.SH,Èð±´¿¨,20050117,0.9335,
600439.SH,Èð±´¿¨,20050118,0.9371,
600439.SH,Èð±´¿¨,20050119,0.9253,
600439.SH,Èð±´¿¨,20050120,0.8973,
600439.SH,Èð±´¿¨,20050121,0.9275,
600439.SH,Èð±´¿¨,20050124,0.9637,
600439.SH,Èð±´¿¨,20050125,0.9534,
600439.SH,Èð±´¿¨,20050126,0.9386,
600439.SH,Èð±´¿¨,20050127,0.9519,
600439.SH,Èð±´¿¨,20050128,0.9512,
600439.SH,Èð±´¿¨,20050131,0.9379,
600439.SH,Èð±´¿¨,20050201,0.9534,
600439.SH,Èð±´¿¨,20050202,0.9962,
600439.SH,Èð±´¿¨,20050203,0.9999,
600439.SH,Èð±´¿¨,20050204,1.0323,
600439.SH,Èð±´¿¨,20050216,1.0331,
600439.SH,Èð±´¿¨,20050217,1.0294,
600439.SH,Èð±´¿¨,20050218,1.0139,
600439.SH,Èð±´¿¨,20050221,1.0316,
600439.SH,Èð±´¿¨,20050222,1.0596,
600439.SH,Èð±´¿¨,20050223,1.0965,
600439.SH,Èð±´¿¨,20050224,1.0847,
600439.SH,Èð±´¿¨,20050225,1.0737,
600439.SH,Èð±´¿¨,20050228,1.0545,
600439.SH,Èð±´¿¨,20050301,1.0567,
600439.SH,Èð±´¿¨,20050302,1.0427,
600439.SH,Èð±´¿¨,20050303,1.0456,
600439.SH,Èð±´¿¨,20050304,1.0272,
600439.SH,Èð±´¿¨,20050307,1.0272,
600439.SH,Èð±´¿¨,20050308,1.0914,
600439.SH,Èð±´¿¨,20050309,1.0921,
600439.SH,Èð±´¿¨,20050310,1.0692,
600439.SH,Èð±´¿¨,20050311,1.1135,
600439.SH,Èð±´¿¨,20050314,1.1319,
600439.SH,Èð±´¿¨,20050315,1.0921,
600439.SH,Èð±´¿¨,20050316,1.0847,
600439.SH,Èð±´¿¨,20050317,1.0899,
600439.SH,Èð±´¿¨,20050318,1.0456,
600439.SH,Èð±´¿¨,20050321,1.0456,
600439.SH,Èð±´¿¨,20050322,1.07,
600439.SH,Èð±´¿¨,20050323,1.0545,
600439.SH,Èð±´¿¨,20050324,1.0478,
600439.SH,Èð±´¿¨,20050325,1.0353,
600439.SH,Èð±´¿¨,20050328,1.0272,
600439.SH,Èð±´¿¨,20050329,1.0242,
600439.SH,Èð±´¿¨,20050330,0.9925,
600439.SH,Èð±´¿¨,20050331,0.9925,
600439.SH,Èð±´¿¨,20050401,0.9925,
600439.SH,Èð±´¿¨,20050404,1.0471,
600439.SH,Èð±´¿¨,20050405,1.0316,
600439.SH,Èð±´¿¨,20050406,1.0434,
600439.SH,Èð±´¿¨,20050407,1.0537,
600439.SH,Èð±´¿¨,20050408,1.0788,
600439.SH,Èð±´¿¨,20050411,1.0626,
600439.SH,Èð±´¿¨,20050412,1.0567,
600439.SH,Èð±´¿¨,20050413,1.0766,
600439.SH,Èð±´¿¨,20050414,1.0611,
600439.SH,Èð±´¿¨,20050415,1.081,
600439.SH,Èð±´¿¨,20050418,1.0847,
600439.SH,Èð±´¿¨,20050419,1.0707,
600439.SH,Èð±´¿¨,20050420,1.0523,
600439.SH,Èð±´¿¨,20050421,1.0589,
