測鎢,潠備,�梪�,彶攫歎(啋),
603566.SH,ぱ應螞,20161020,24.2155,
603566.SH,ぱ應螞,20161021,24.1461,
603566.SH,ぱ應螞,20161024,24.8799,
603566.SH,ぱ應螞,20161025,24.8898,
603566.SH,ぱ應螞,20161026,24.4931,
603566.SH,ぱ應螞,20161027,24.7113,
603566.SH,ぱ應螞,20161028,24.8501,
603566.SH,ぱ應螞,20161031,25.1774,
603566.SH,ぱ應螞,20161101,25.5244,
603566.SH,ぱ應螞,20161102,25.4451,
603566.SH,ぱ應螞,20161103,25.3955,
603566.SH,ぱ應螞,20161104,25.0584,
603566.SH,ぱ應螞,20161107,25.6137,
603566.SH,ぱ應螞,20161108,25.4748,
603566.SH,ぱ應螞,20161109,24.87,
603566.SH,ぱ應螞,20161110,26.635,
603566.SH,ぱ應螞,20161111,26.6846,
603566.SH,ぱ應螞,20161114,26.5161,
603566.SH,ぱ應螞,20161115,26.754,
603566.SH,ぱ應螞,20161116,26.5458,
603566.SH,ぱ應螞,20161117,27.0218,
603566.SH,ぱ應螞,20161118,26.9226,
603566.SH,ぱ應螞,20161121,26.5756,
603566.SH,ぱ應螞,20161122,26.764,
603566.SH,ぱ應螞,20161123,27.349,
603566.SH,ぱ應螞,20161124,26.4268,
603566.SH,ぱ應螞,20161125,26.1789,
603566.SH,ぱ應螞,20161128,25.9012,
603566.SH,ぱ應螞,20161129,25.8913,
603566.SH,ぱ應螞,20161130,26.0996,
603566.SH,ぱ應螞,20161201,26.5359,
603566.SH,ぱ應螞,20161202,25.6335,
603566.SH,ぱ應螞,20161205,25.0782,
603566.SH,ぱ應螞,20161206,25.2468,
603566.SH,ぱ應螞,20161207,25.6236,
603566.SH,ぱ應螞,20161208,25.2071,
603566.SH,ぱ應螞,20161209,25.3459,
603566.SH,ぱ應螞,20161212,23.1445,
603566.SH,ぱ應螞,20161213,23.6304,
603566.SH,ぱ應螞,20161214,23.5015,
603566.SH,ぱ應螞,20161215,23.5808,
603566.SH,ぱ應螞,20161216,24.156,
603566.SH,ぱ應螞,20161219,24.0965,
603566.SH,ぱ應螞,20161220,23.9775,
603566.SH,ぱ應螞,20161221,24.3741,
603566.SH,ぱ應螞,20161222,24.4138,
603566.SH,ぱ應螞,20161223,24.1957,
603566.SH,ぱ應螞,20161226,24.1362,
603566.SH,ぱ應螞,20161227,24.2651,
603566.SH,ぱ應螞,20161228,23.8188,
603566.SH,ぱ應螞,20161229,23.68,
603566.SH,ぱ應螞,20161230,23.9775,
603566.SH,ぱ應螞,20170103,24.2849,
603566.SH,ぱ應螞,20170104,24.4436,
603566.SH,ぱ應螞,20170105,24.7609,
603566.SH,ぱ應螞,20170106,24.9394,
603566.SH,ぱ應螞,20170109,24.6518,
603566.SH,ぱ應螞,20170110,25.0584,
603566.SH,ぱ應螞,20170111,24.4336,
603566.SH,ぱ應螞,20170112,24.3841,
603566.SH,ぱ應螞,20170113,23.9577,
603566.SH,ぱ應螞,20170116,23.0553,
603566.SH,ぱ應螞,20170117,23.3825,
603566.SH,ぱ應螞,20170118,23.2338,
603566.SH,ぱ應螞,20170119,22.976,
603566.SH,ぱ應螞,20170120,23.1941,
603566.SH,ぱ應螞,20170123,23.5015,
603566.SH,ぱ應螞,20170124,23.323,
603566.SH,ぱ應螞,20170125,23.6503,
603566.SH,ぱ應螞,20170126,23.799,
603566.SH,ぱ應螞,20170203,23.6106,
603566.SH,ぱ應螞,20170206,24.0965,
603566.SH,ぱ應螞,20170207,24.0667,
603566.SH,ぱ應螞,20170208,24.9096,
603566.SH,ぱ應螞,20170209,24.989,
603566.SH,ぱ應螞,20170210,24.4535,
603566.SH,ぱ應螞,20170213,24.6915,
603566.SH,ぱ應螞,20170214,24.4535,
603566.SH,ぱ應螞,20170215,25.5244,
603566.SH,ぱ應螞,20170216,26.2582,
603566.SH,ぱ應螞,20170217,26.0302,
603566.SH,ぱ應螞,20170220,25.6137,
603566.SH,ぱ應螞,20170221,25.5542,
603566.SH,ぱ應螞,20170222,25.3162,
603566.SH,ぱ應螞,20170223,25.3459,
603566.SH,ぱ應螞,20170224,26.0202,
603566.SH,ぱ應螞,20170227,26.526,
603566.SH,ぱ應螞,20170228,26.5061,
603566.SH,ぱ應螞,20170301,26.1095,
603566.SH,ぱ應螞,20170302,25.6831,
603566.SH,ぱ應螞,20170303,25.8219,
603566.SH,ぱ應螞,20170306,26.3177,
603566.SH,ぱ應螞,20170307,26.0797,
603566.SH,ぱ應螞,20170308,25.8814,
603566.SH,ぱ應螞,20170309,25.6434,
603566.SH,ぱ應螞,20170310,25.7128,
603566.SH,ぱ應螞,20170313,25.7426,
603566.SH,ぱ應螞,20170314,26.1591,
603566.SH,ぱ應螞,20170315,26.2285,
603566.SH,ぱ應螞,20170316,26.4268,
603566.SH,ぱ應螞,20170317,26.1194,
603566.SH,ぱ應螞,20170320,27.1209,
603566.SH,ぱ應螞,20170321,27.1606,
603566.SH,ぱ應螞,20170322,27.349,
603566.SH,ぱ應螞,20170323,27.0218,
603566.SH,ぱ應螞,20170324,27.0317,
603566.SH,ぱ應螞,20170327,27.349,
603566.SH,ぱ應螞,20170328,26.9226,
603566.SH,ぱ應螞,20170329,26.407,
603566.SH,ぱ應螞,20170330,25.8913,
603566.SH,ぱ應螞,20170331,26.2186,
603566.SH,ぱ應螞,20170405,27.2697,
603566.SH,ぱ應螞,20170406,27.2796,
603566.SH,ぱ應螞,20170407,26.883,
603566.SH,ぱ應螞,20170410,27.0714,
603566.SH,ぱ應螞,20170411,26.7441,
603566.SH,ぱ應螞,20170412,25.6137,
603566.SH,ぱ應螞,20170413,25.6831,
603566.SH,ぱ應螞,20170414,25.2765,
603566.SH,ぱ應螞,20170417,25.7327,
603566.SH,ぱ應螞,20170418,25.4748,
603566.SH,ぱ應螞,20170419,25.6831,
603566.SH,ぱ應螞,20170420,25.5839,
603566.SH,ぱ應螞,20170421,25.3559,
603566.SH,ぱ應螞,20170424,25.4153,
603566.SH,ぱ應螞,20170425,25.1079,
603566.SH,ぱ應螞,20170426,25.1377,
603566.SH,ぱ應螞,20170427,25.1873,
603566.SH,ぱ應螞,20170428,25.2864,
603566.SH,ぱ應螞,20170502,25.3856,
603566.SH,ぱ應螞,20170503,25.4054,
603566.SH,ぱ應螞,20170504,25.2864,
603566.SH,ぱ應螞,20170505,24.7113,
603566.SH,ぱ應螞,20170508,24.7212,
603566.SH,ぱ應螞,20170509,24.989,
603566.SH,ぱ應螞,20170510,24.6915,
603566.SH,ぱ應螞,20170511,24.6716,
603566.SH,ぱ應螞,20170512,24.5526,
603566.SH,ぱ應螞,20170515,24.751,
603566.SH,ぱ應螞,20170516,25.2369,
603566.SH,ぱ應螞,20170517,25.1377,
603566.SH,ぱ應螞,20170518,24.87,
603566.SH,ぱ應螞,20170519,24.7906,
603566.SH,ぱ應螞,20170522,24.6022,
603566.SH,ぱ應螞,20170523,24.4733,
603566.SH,ぱ應螞,20170524,24.7708,
603566.SH,ぱ應螞,20170525,24.741,
603566.SH,ぱ應螞,20170526,24.8898,
603566.SH,ぱ應螞,20170531,24.741,
603566.SH,ぱ應螞,20170601,24.2353,
603566.SH,ぱ應螞,20170602,23.68,
603566.SH,ぱ應螞,20170605,24.03,
603566.SH,ぱ應螞,20170606,24.05,
603566.SH,ぱ應螞,20170607,24.18,
603566.SH,ぱ應螞,20170608,23.91,
603566.SH,ぱ應螞,20170609,23.9,
603566.SH,ぱ應螞,20170612,23.72,
603566.SH,ぱ應螞,20170613,23.83,
603566.SH,ぱ應螞,20170614,23.95,
603566.SH,ぱ應螞,20170615,24.2,
603566.SH,ぱ應螞,20170616,24.17,
603566.SH,ぱ應螞,20170619,24.71,
603566.SH,ぱ應螞,20170620,24.97,
603566.SH,ぱ應螞,20170621,24.92,
603566.SH,ぱ應螞,20170622,24.23,
603566.SH,ぱ應螞,20170623,24.06,
603566.SH,ぱ應螞,20170626,24.24,
603566.SH,ぱ應螞,20170627,24.35,
603566.SH,ぱ應螞,20170628,24.23,
603566.SH,ぱ應螞,20170629,24.58,
603566.SH,ぱ應螞,20170630,24.26,
603566.SH,ぱ應螞,20170703,24.14,
603566.SH,ぱ應螞,20170704,24,
603566.SH,ぱ應螞,20170705,24.06,
603566.SH,ぱ應螞,20170706,23.95,
603566.SH,ぱ應螞,20170707,23.56,
603566.SH,ぱ應螞,20170710,22.8,
603566.SH,ぱ應螞,20170711,22.86,
603566.SH,ぱ應螞,20170712,23.13,
603566.SH,ぱ應螞,20170713,22.99,
603566.SH,ぱ應螞,20170714,22.69,
603566.SH,ぱ應螞,20170717,22.5,
603566.SH,ぱ應螞,20170718,22.29,
603566.SH,ぱ應螞,20170719,22.8,
603566.SH,ぱ應螞,20170720,22.63,
603566.SH,ぱ應螞,20170721,21.86,
603566.SH,ぱ應螞,20170724,21.91,
603566.SH,ぱ應螞,20170725,21.65,
603566.SH,ぱ應螞,20170726,21.4,
603566.SH,ぱ應螞,20170727,21.58,
603566.SH,ぱ應螞,20170728,21.61,
603566.SH,ぱ應螞,20170731,23.46,
603566.SH,ぱ應螞,20170801,22.75,
603566.SH,ぱ應螞,20170802,22.04,
603566.SH,ぱ應螞,20170803,22.01,
603566.SH,ぱ應螞,20170804,21.82,
603566.SH,ぱ應螞,20170807,21.75,
603566.SH,ぱ應螞,20170808,22.36,
603566.SH,ぱ應螞,20170809,22.46,
603566.SH,ぱ應螞,20170810,22.36,
603566.SH,ぱ應螞,20170811,22.39,
603566.SH,ぱ應螞,20170814,22.35,
603566.SH,ぱ應螞,20170815,22.2,
603566.SH,ぱ應螞,20170816,22.37,
603566.SH,ぱ應螞,20170817,22.48,
603566.SH,ぱ應螞,20170818,22.56,
603566.SH,ぱ應螞,20170821,22.86,
603566.SH,ぱ應螞,20170822,22.89,
603566.SH,ぱ應螞,20170823,22.8,
603566.SH,ぱ應螞,20170824,22.8,
603566.SH,ぱ應螞,20170825,22.85,
603566.SH,ぱ應螞,20170828,22.86,
603566.SH,ぱ應螞,20170829,23.06,
603566.SH,ぱ應螞,20170830,22.99,
603566.SH,ぱ應螞,20170831,23.4,
603566.SH,ぱ應螞,20170901,23.45,
603566.SH,ぱ應螞,20170904,23.31,
603566.SH,ぱ應螞,20170905,22.95,
603566.SH,ぱ應螞,20170906,22.55,
603566.SH,ぱ應螞,20170907,23.09,
603566.SH,ぱ應螞,20170908,23.85,
603566.SH,ぱ應螞,20170911,23.48,
603566.SH,ぱ應螞,20170912,23.59,
603566.SH,ぱ應螞,20170913,23.36,
603566.SH,ぱ應螞,20170914,23.14,
603566.SH,ぱ應螞,20170915,23.15,
603566.SH,ぱ應螞,20170918,23.27,
603566.SH,ぱ應螞,20170919,23.06,
603566.SH,ぱ應螞,20170920,23.08,
603566.SH,ぱ應螞,20170921,22.67,
603566.SH,ぱ應螞,20170922,22.46,
603566.SH,ぱ應螞,20170925,22.06,
603566.SH,ぱ應螞,20170926,21.99,
603566.SH,ぱ應螞,20170927,22.05,
603566.SH,ぱ應螞,20170928,21.95,
603566.SH,ぱ應螞,20170929,21.93,
