旗鷹,酒各,晩豚,辺徒勺(圷),
002517.SZ,磊哂利大,20121205,3.5148,
002517.SZ,磊哂利大,20121206,3.5198,
002517.SZ,磊哂利大,20121207,3.5944,
002517.SZ,磊哂利大,20121210,3.664,
002517.SZ,磊哂利大,20121211,3.6292,
002517.SZ,磊哂利大,20121212,3.6441,
002517.SZ,磊哂利大,20121213,3.5446,
002517.SZ,磊哂利大,20121214,3.7037,
002517.SZ,磊哂利大,20121217,3.7385,
002517.SZ,磊哂利大,20121218,3.7186,
002517.SZ,磊哂利大,20121219,3.7584,
002517.SZ,磊哂利大,20121220,3.7584,
002517.SZ,磊哂利大,20121221,3.833,
002517.SZ,磊哂利大,20121224,3.838,
002517.SZ,磊哂利大,20121225,3.9622,
002517.SZ,磊哂利大,20121226,4.36,
002517.SZ,磊哂利大,20121227,4.2058,
002517.SZ,磊哂利大,20121228,4.2357,
002517.SZ,磊哂利大,20121231,4.3152,
002517.SZ,磊哂利大,20130104,4.1909,
002517.SZ,磊哂利大,20130107,4.2158,
002517.SZ,磊哂利大,20130108,4.2804,
002517.SZ,磊哂利大,20130109,4.2655,
002517.SZ,磊哂利大,20130110,4.3948,
002517.SZ,磊哂利大,20130111,4.186,
002517.SZ,磊哂利大,20130114,4.3252,
002517.SZ,磊哂利大,20130115,4.4246,
002517.SZ,磊哂利大,20130116,4.534,
002517.SZ,磊哂利大,20130117,4.3898,
002517.SZ,磊哂利大,20130118,4.4146,
002517.SZ,磊哂利大,20130121,4.4445,
002517.SZ,磊哂利大,20130122,4.4743,
002517.SZ,磊哂利大,20130123,4.36,
002517.SZ,磊哂利大,20130124,4.1462,
002517.SZ,磊哂利大,20130125,4.0915,
002517.SZ,磊哂利大,20130128,4.2655,
002517.SZ,磊哂利大,20130129,4.2605,
002517.SZ,磊哂利大,20130130,4.2158,
002517.SZ,磊哂利大,20130131,4.2506,
002517.SZ,磊哂利大,20130201,4.3699,
002517.SZ,磊哂利大,20130204,4.355,
002517.SZ,磊哂利大,20130205,4.4146,
002517.SZ,磊哂利大,20130206,4.4395,
002517.SZ,磊哂利大,20130207,4.4047,
002517.SZ,磊哂利大,20130208,4.4345,
002517.SZ,磊哂利大,20130218,4.4246,
002517.SZ,磊哂利大,20130219,4.2854,
002517.SZ,磊哂利大,20130220,4.355,
002517.SZ,磊哂利大,20130221,4.2506,
002517.SZ,磊哂利大,20130222,4.2605,
002517.SZ,磊哂利大,20130225,4.3301,
002517.SZ,磊哂利大,20130226,4.2406,
002517.SZ,磊哂利大,20130227,4.2804,
002517.SZ,磊哂利大,20130228,4.5141,
002517.SZ,磊哂利大,20130301,4.519,
002517.SZ,磊哂利大,20130304,4.4942,
002517.SZ,磊哂利大,20130305,4.5936,
002517.SZ,磊哂利大,20130306,4.5986,
002517.SZ,磊哂利大,20130307,4.4793,
002517.SZ,磊哂利大,20130308,4.4544,
002517.SZ,磊哂利大,20130311,4.4296,
002517.SZ,磊哂利大,20130312,4.2655,
002517.SZ,磊哂利大,20130313,4.181,
002517.SZ,磊哂利大,20130314,4.186,
002517.SZ,磊哂利大,20130315,4.1462,
002517.SZ,磊哂利大,20130318,4.0865,
002517.SZ,磊哂利大,20130319,4.0915,
002517.SZ,磊哂利大,20130320,4.1959,
002517.SZ,磊哂利大,20130321,4.2357,
002517.SZ,磊哂利大,20130322,4.2406,
002517.SZ,磊哂利大,20130325,4.2456,
002517.SZ,磊哂利大,20130326,4.1512,
