ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
603003.SH,БъУоИјУН,20140714,12.8859,
603003.SH,БъУоИјУН,20140715,13.0857,
603003.SH,БъУоИјУН,20140716,13.4353,
603003.SH,БъУоИјУН,20140717,13.6251,
603003.SH,БъУоИјУН,20140718,13.0857,
603003.SH,БъУоИјУН,20140721,12.826,
603003.SH,БъУоИјУН,20140722,13.0857,
603003.SH,БъУоИјУН,20140723,13.1456,
603003.SH,БъУоИјУН,20140724,13.3654,
603003.SH,БъУоИјУН,20140725,13.8748,
603003.SH,БъУоИјУН,20140728,13.9348,
603003.SH,БъУоИјУН,20140729,13.8249,
603003.SH,БъУоИјУН,20140730,14.5941,
603003.SH,БъУоИјУН,20140731,14.3343,
603003.SH,БъУоИјУН,20140801,13.8449,
603003.SH,БъУоИјУН,20140804,14.0047,
603003.SH,БъУоИјУН,20140805,13.8848,
603003.SH,БъУоИјУН,20140806,13.755,
603003.SH,БъУоИјУН,20140807,13.8649,
603003.SH,БъУоИјУН,20140808,14.0047,
603003.SH,БъУоИјУН,20140811,13.9747,
603003.SH,БъУоИјУН,20140812,13.8948,
603003.SH,БъУоИјУН,20140813,14.2444,
603003.SH,БъУоИјУН,20140814,14.3643,
603003.SH,БъУоИјУН,20140815,14.614,
603003.SH,БъУоИјУН,20140818,14.7839,
603003.SH,БъУоИјУН,20140819,14.8638,
603003.SH,БъУоИјУН,20140820,14.3643,
603003.SH,БъУоИјУН,20140821,14.1845,
603003.SH,БъУоИјУН,20140822,14.2844,
603003.SH,БъУоИјУН,20140825,14.0746,
603003.SH,БъУоИјУН,20140826,13.3454,
603003.SH,БъУоИјУН,20140827,13.4154,
603003.SH,БъУоИјУН,20140828,13.695,
603003.SH,БъУоИјУН,20140829,14.0147,
603003.SH,БъУоИјУН,20140901,14.3543,
603003.SH,БъУоИјУН,20140902,14.3144,
603003.SH,БъУоИјУН,20140903,14.2944,
603003.SH,БъУоИјУН,20140904,14.3743,
603003.SH,БъУоИјУН,20140905,14.2245,
603003.SH,БъУоИјУН,20140909,14.6041,
603003.SH,БъУоИјУН,20140910,14.9437,
603003.SH,БъУоИјУН,20140911,14.9437,
603003.SH,БъУоИјУН,20140912,15.1435,
603003.SH,БъУоИјУН,20140915,15.0835,
603003.SH,БъУоИјУН,20140916,14.1346,
603003.SH,БъУоИјУН,20140917,14.2644,
603003.SH,БъУоИјУН,20140918,14.3943,
603003.SH,БъУоИјУН,20140919,14.614,
603003.SH,БъУоИјУН,20140922,14.9836,
603003.SH,БъУоИјУН,20140923,15.1734,
603003.SH,БъУоИјУН,20140924,15.0835,
603003.SH,БъУоИјУН,20140925,14.654,
603003.SH,БъУоИјУН,20140926,14.8238,
603003.SH,БъУоИјУН,20140929,14.8038,
603003.SH,БъУоИјУН,20140930,14.9637,
603003.SH,БъУоИјУН,20141008,15.1235,
603003.SH,БъУоИјУН,20141009,15.1435,
603003.SH,БъУоИјУН,20141010,14.7938,
603003.SH,БъУоИјУН,20141013,14.7239,
603003.SH,БъУоИјУН,20141014,14.8738,
603003.SH,БъУоИјУН,20141015,15.1235,
603003.SH,БъУоИјУН,20141016,15.2034,
603003.SH,БъУоИјУН,20141017,14.7239,
603003.SH,БъУоИјУН,20141020,14.8438,
603003.SH,БъУоИјУН,20141021,15.6329,
603003.SH,БъУоИјУН,20141022,15.2234,
603003.SH,БъУоИјУН,20141023,14.5841,
603003.SH,БъУоИјУН,20141024,14.634,
603003.SH,БъУоИјУН,20141027,13.7849,
603003.SH,БъУоИјУН,20141028,14.624,
603003.SH,БъУоИјУН,20141029,14.9237,
603003.SH,БъУоИјУН,20141030,14.7339,
603003.SH,БъУоИјУН,20141031,14.3244,
603003.SH,БъУоИјУН,20141103,14.664,
603003.SH,БъУоИјУН,20141104,14.684,
