股票代码,股票简称
600818.SH,中路股份
603399.SH,吉翔股份
603725.SH,天安新材
300428.SZ,四通新材
300209.SZ,天泽信息
002517.SZ,恺英网络
603050.SH,科林电气
002358.SZ,森源电气
002791.SZ,坚朗五金
002380.SZ,科远股份
600184.SH,光电股份
002389.SZ,南洋科技
300570.SZ,太辰光
600679.SH,上海凤凰
603058.SH,永吉股份
000065.SZ,北方国际
000830.SZ,鲁西化工
600900.SH,长江电力
300286.SZ,安科瑞
603456.SH,九洲药业
300014.SZ,亿纬锂能
002242.SZ,九阳股份
603848.SH,好太太
002193.SZ,如意集团
600977.SH,中国电影
002529.SZ,海源机械
300070.SZ,碧水源
601688.SH,华泰证券
300383.SZ,光环新网
600850.SH,华东电脑
601163.SH,三角轮胎
300397.SZ,天和防务
002435.SZ,长江润发
600071.SH,凤凰光学
000555.SZ,神州信息
002824.SZ,和胜股份
603768.SH,常青股份
002827.SZ,高争民爆
600136.SH,当代明诚
000820.SZ,神雾节能
603229.SH,奥翔药业
002816.SZ,和科达
603701.SH,德宏股份
002783.SZ,凯龙股份
300321.SZ,同大股份
600392.SH,盛和资源
002205.SZ,国统股份
600647.SH,同达创业
002253.SZ,川大智胜
600265.SH,ST景谷
603648.SH,畅联股份
002240.SZ,威华股份
300404.SZ,博济医药
603029.SH,天鹅股份
002412.SZ,汉森制药
000887.SZ,中鼎股份
002322.SZ,理工环科
002028.SZ,思源电气
002595.SZ,豪迈科技
002354.SZ,天神娱乐
300512.SZ,中亚股份
002138.SZ,顺络电子
300166.SZ,东方国信
002048.SZ,宁波华翔
000913.SZ,钱江摩托
002806.SZ,华锋股份
600366.SH,宁波韵升
